date,all_collisions,injury_collisions,fatal_collisions,tire_failure_inadequate,oversized_vehicle,following_too_closely,unspecified,shoulders_defective_improper,physical_disability,other_electronic_device,brakes_defective,driver_inexperience,backing_unsafely,prescription_medication,view_obstructed_limited,other_vehicular,other_lighting_defects,reaction_to_other_uninvolved_vehicle,traffic_control_disregarded,fell_asleep,tow_hitch_defective,traffic_control_device_improper_non_working,outside_car_distraction,lane_marking_improper_inadequate,illness,glare,pavement_defective,cell_phone_hand_held,headlights_defective,turning_improperly,failure_to_keep_right,aggressive_driving_road_rage,passenger_distraction,pavement_slippery,drugs_illegal,cell_phone_hands_free,fatigued_drowsy,steering_failure,unsafe_speed,unsafe_lane_changing,alcohol_involvement,lost_consciousness,passing_or_lane_usage_improper,pedestrian_bicyclist_other_pedestrian_error_confusion,animals_action,failure_to_yield_right_of_way,accelerator_defective,driver_inattention_distraction,windshield_inadequate,obstruction_debris
2012-08-30,617,179,1,0,13,0,870,0,15,0,2,13,23,15,1,30,0,2,7,3,0,2,8,0,1,0,0,0,0,16,1,2,4,0,0,0,46,1,0,0,1,26,0,0,1,28,0,85,0,0
2012-08-31,701,217,2,3,2,0,1059,0,8,1,2,15,22,19,4,32,0,3,9,0,0,0,11,0,0,0,1,0,0,27,1,9,4,1,0,0,40,0,0,0,3,17,0,0,0,38,0,91,0,1
2012-09-01,515,144,0,0,1,0,769,0,12,0,3,9,14,11,1,22,0,2,11,0,0,0,10,0,5,1,1,0,1,10,3,1,2,0,0,0,36,2,1,0,9,15,0,0,1,25,0,67,0,1
2012-09-02,421,150,1,0,0,0,623,0,10,0,1,10,15,16,2,17,0,0,3,2,0,0,9,0,2,0,2,0,0,11,3,1,3,4,0,1,15,0,1,0,6,11,0,0,0,16,0,43,0,0
2012-09-03,373,125,0,1,3,0,588,0,4,0,5,1,13,8,1,8,0,0,3,0,0,0,1,0,1,0,1,0,0,5,0,2,4,10,0,0,12,0,2,0,10,5,0,0,0,14,3,44,0,1
2012-09-04,606,186,0,0,5,0,907,0,7,2,2,10,12,12,1,13,0,0,6,0,0,2,9,0,2,0,0,0,0,9,0,3,4,24,1,0,41,1,0,0,4,17,1,0,0,33,0,73,0,0
2012-09-05,601,155,1,0,8,0,944,0,8,1,0,6,22,6,4,12,0,1,3,1,0,0,7,1,1,0,0,0,0,18,2,0,2,11,0,0,39,1,0,0,1,17,1,0,1,28,0,67,0,0
2012-09-06,572,151,0,0,3,0,835,0,7,1,2,16,16,14,6,18,0,1,16,0,0,0,14,0,2,0,0,1,0,9,2,4,7,1,1,0,42,1,1,0,6,20,0,1,0,25,0,71,0,2
2012-09-07,680,207,0,0,4,0,997,0,13,2,1,14,20,11,6,29,0,6,7,0,0,0,10,3,5,0,0,0,0,28,1,6,5,2,0,0,45,1,1,0,4,18,0,0,0,28,0,92,0,0
2012-09-08,598,197,0,1,2,2,882,0,12,2,3,12,13,10,4,24,0,2,9,0,0,0,10,1,1,0,0,0,0,12,0,1,4,14,0,1,19,3,2,0,10,15,0,0,0,26,0,70,0,1
2012-09-09,464,145,0,2,0,0,716,0,6,5,1,7,9,11,1,12,0,0,8,0,0,0,8,0,1,0,0,0,0,9,2,1,2,7,0,0,22,1,1,0,6,13,1,0,0,14,0,51,0,0
2012-09-10,637,172,1,1,5,0,945,0,6,1,2,9,18,12,8,27,0,1,6,0,0,0,9,0,3,5,1,0,0,17,1,10,2,0,1,0,54,0,0,0,4,13,1,0,0,20,1,85,0,1
2012-09-11,521,127,0,0,6,0,790,0,4,1,2,4,16,12,3,17,0,1,8,0,0,1,13,0,3,4,1,0,0,12,0,1,5,0,1,0,45,1,0,0,1,10,0,0,0,14,0,59,0,0
2012-09-12,649,153,1,0,3,0,982,0,9,4,1,14,11,13,4,27,0,1,6,0,0,0,9,0,7,5,0,0,0,12,1,4,5,1,1,0,46,1,1,0,2,25,1,0,0,23,2,81,0,2
2012-09-13,632,172,2,0,4,0,926,0,13,0,4,8,18,12,2,14,0,3,10,0,1,0,11,0,1,5,0,0,0,16,1,2,6,0,0,0,34,2,1,0,5,31,0,0,1,36,0,78,0,2
2012-09-14,608,165,0,2,7,0,881,0,6,2,1,13,17,12,0,19,0,1,5,4,1,0,16,0,2,3,0,0,1,20,0,3,4,0,0,0,40,0,1,0,4,34,3,0,1,25,0,83,0,3
2012-09-15,557,155,2,0,2,2,828,1,10,4,1,14,13,8,2,34,1,3,11,0,0,0,9,0,0,1,1,0,0,9,4,3,5,2,0,0,35,0,3,0,6,11,0,0,0,16,0,81,0,1
2012-09-16,458,125,1,0,2,0,691,0,5,1,0,13,17,5,0,28,0,1,6,0,0,0,10,0,1,0,0,0,0,15,1,0,0,0,0,0,29,1,0,1,8,10,0,0,1,16,1,53,0,0
2012-09-17,452,114,2,0,5,1,686,0,7,2,3,5,9,9,2,14,0,2,3,3,0,1,10,0,3,1,0,0,0,10,0,3,2,0,3,1,25,0,0,0,2,16,0,0,0,9,0,51,0,0
2012-09-18,556,178,1,0,4,1,784,0,8,1,2,5,8,11,5,10,0,2,6,0,0,0,8,0,1,0,0,1,0,6,0,0,4,18,1,0,32,0,1,0,3,12,0,0,0,25,0,63,0,8
2012-09-19,612,165,0,1,4,0,881,0,5,0,5,14,16,14,4,25,0,2,6,0,0,0,8,0,1,0,0,0,0,18,0,7,3,2,1,1,47,0,0,0,2,16,1,0,0,27,0,98,0,2
2012-09-20,522,132,3,0,3,1,774,0,8,0,2,7,18,19,3,6,0,0,7,0,0,0,5,2,0,1,1,0,0,13,1,1,6,0,1,0,34,0,0,1,2,20,0,0,0,28,0,81,0,2
2012-09-21,654,201,1,0,3,0,938,0,6,0,1,10,13,13,4,33,0,0,10,0,0,0,8,1,3,4,0,0,0,22,0,3,12,0,0,1,51,0,0,0,5,18,1,0,0,43,0,102,0,2
2012-09-22,547,161,1,1,1,0,785,0,8,3,0,7,19,11,3,22,0,1,13,0,0,0,4,1,0,1,1,0,0,11,1,5,7,5,0,0,42,0,0,0,3,10,0,0,0,28,0,82,0,2
2012-09-23,480,147,0,0,2,0,686,0,7,1,1,11,11,10,1,21,0,1,11,0,0,0,7,0,2,1,0,0,0,5,6,4,2,3,0,2,41,0,0,0,9,16,0,0,0,23,1,56,0,4
2012-09-24,562,151,1,0,4,1,824,0,9,2,2,12,18,14,6,6,0,2,7,0,1,0,11,2,2,2,0,0,0,11,1,4,4,0,0,0,45,0,0,0,2,9,0,0,0,33,0,70,0,2
2012-09-25,593,180,2,0,3,0,862,0,4,0,5,12,17,9,2,12,0,2,5,0,0,0,10,1,1,3,0,0,0,12,0,1,2,2,0,0,39,0,1,1,6,19,0,0,0,33,1,98,0,1
