DATE,NUMBER_OF_PERSONS_INJURED,NUMBER_OF_PERSONS_KILLED,NUMBER_OF_PEDESTRIANS_INJURED,NUMBER_OF_PEDESTRIANS_KILLED,NUMBER_OF_CYCLIST_INJURED,NUMBER_OF_CYCLIST_KILLED,NUMBER_OF_MOTORIST_INJURED,NUMBER_OF_MOTORIST_KILLED
2014-03-23,126,1,16,0,11,0,99,1
2014-03-22,124,0,40,0,7,0,77,0
2014-03-21,165,2,43,1,10,0,112,1
2014-03-20,134,0,40,0,7,0,87,0
2014-03-19,128,1,47,0,5,0,76,1
2014-03-18,121,1,39,1,6,0,76,0
2014-03-17,127,0,34,0,4,0,89,0
2014-03-16,100,1,20,1,5,0,75,0
2014-03-15,120,1,29,1,7,0,84,0
2014-03-14,135,0,32,0,6,0,97,0
2014-03-13,110,0,33,0,6,0,71,0
2014-03-12,114,0,24,0,9,0,81,0
2014-03-11,119,0,28,0,11,0,80,0
2014-03-10,147,0,33,0,6,0,108,0
2014-03-09,112,1,16,0,3,0,93,1
2014-03-08,139,0,29,0,7,0,103,0
2014-03-07,108,1,38,1,3,0,67,0
2014-03-06,122,1,27,1,5,0,90,0
2014-03-05,116,1,41,0,5,0,70,1
2014-03-04,110,1,26,0,7,0,77,1
2014-03-03,93,0,28,0,2,0,63,0
2014-03-02,74,0,14,0,5,0,55,0
2014-03-01,144,1,23,1,5,0,116,0
2014-02-28,152,0,42,0,2,0,108,0
2014-02-27,128,0,31,0,1,0,96,0
2014-02-26,114,0,35,0,1,0,78,0
2014-02-25,93,0,25,0,2,0,66,0
2014-02-24,121,0,33,0,2,0,86,0
2014-02-23,141,2,26,2,6,0,109,0
2014-02-22,140,0,29,0,2,0,109,0
2014-02-21,120,0,46,0,2,0,72,0
2014-02-20,90,1,29,1,4,0,57,0
2014-02-19,110,0,34,0,2,0,74,0
2014-02-18,111,2,20,0,1,0,90,2
2014-02-17,94,0,21,0,2,0,71,0
2014-02-16,72,0,16,0,2,0,54,0
2014-02-15,79,0,24,0,3,0,52,0
2014-02-14,115,0,25,0,4,0,86,0
2014-02-13,86,1,19,1,3,0,64,0
2014-02-12,112,1,23,0,6,0,83,1
2014-02-11,110,1,32,1,3,0,75,0
